ObjectID,TrackingRegion,X,Y,RelX,RelY,Frame,MSec,CountingRegion,Direction,Speed,Acceleration,AngularSpeed,TotalDistance,DataQuality,Time,Millisec,Indicator,NObjects,BlobType
0,T_0,536,46,224,1,19447,-868007.3159,Right1,-1,0,0,109.114108,47902.69313,High,8/6/2024 11:25:08,414,0,1,One
0,T_1,431,103,115,4,19447,-868007.3159,Right1,-1,0,0,109.114108,26921.31405,High,8/6/2024 11:25:08,414,0,1,One
0,T_2,371,151,55,6,19447,-868007.3159,Right1,180,0.302255147,-2.105097521,54.70818157,14889.6967,High,8/6/2024 11:25:08,414,0,1,One
0,T_3,252,201,-64,0,19447,-868007.3159,Left1,360,0,0,109.114108,17264.29146,High,8/6/2024 11:25:08,414,0,1,One
0,T_4,339,248,23,-9,19447,-868007.3159,Right1,-1,0,-2.196455695,54.70818157,15163.7781,High,8/6/2024 11:25:08,414,0,1,One
0,T_5,537,302,233,-7,19447,-868007.3159,Right1,360,0,0,109.114108,40238.85434,High,8/6/2024 11:25:08,414,0,1,One
0,T_6,205,427,-105,10,19447,-868007.3159,Left1,360,52.92573066,15.99707449,109.114108,89066.66123,High,8/6/2024 11:25:08,414,0,1,One
0,T_7,178,469,-130,0,19447,-868007.3159,Left1,360,41.43652396,9.418145199,109.114108,93034.17535,High,8/6/2024 11:25:08,415,0,1,One
0,T_8,45,520,-267,-1,19447,-868007.3159,Left1,-1,2.851469352,0.861871288,109.114108,40361.72265,High,8/6/2024 11:25:08,415,0,1,One
0,T_9,119,565,-191,-6,19447,-868007.3159,Left1,-1,1.08979643,0.32939658,109.114108,57014.76498,High,8/6/2024 11:25:08,415,0,1,One
0,T_10,278,625,-36,4,19447,-868007.3159,Left1,360,0,-2.196455695,109.114108,64723.50336,High,8/6/2024 11:25:08,415,0,1,One
0,T_11,35,673,-281,-2,19447,-868007.3159,Left1,180,2.786654763,0.842280745,54.70818157,75690.44811,High,8/6/2024 11:25:08,415,0,1,One
0,T_12,292,781,-22,0,19447,-868007.3159,Left1,-1,28.42644978,-4.586693421,109.114108,101957.8665,High,8/6/2024 11:25:08,415,0,1,One
0,T_13,164,839,-152,10,19447,-868007.3159,Left1,-1,0,0,109.114108,26823.77086,High,8/6/2024 11:25:08,415,0,1,One
0,T_14,472,878,154,-3,19447,-868007.3159,Right1,-1,34.15616898,7.217620435,41.10669997,103286.9291,High,8/6/2024 11:25:08,415,0,1,One
0,T_15,441,939,131,6,19447,-868007.3159,Right1,360,14.20920702,-2.650996824,109.114108,64320.69151,High,8/6/2024 11:25:08,415,0,1,One
0,T_16,179,988,-133,7,19447,-868007.3159,Left1,-1,0.302255147,0.091358174,109.114108,68494.95387,High,8/6/2024 11:25:08,415,0,1,One
0,T_17,522,1043,208,14,19447,-868007.3159,Right1,-1,0.302255147,0.091358174,109.114108,44673.7121,High,8/6/2024 11:25:08,415,0,1,One
