ObjectID,TrackingRegion,X,Y,RelX,RelY,Frame,MSec,CountingRegion,Direction,Speed,Acceleration,AngularSpeed,TotalDistance,DataQuality,Time,Millisec,Indicator,NObjects,BlobType,ClosestNeighbor
1,L5,15,981,-129,59,29173,3680939.401,None,-1,25.30528652,-46.09200696,2092.885756,96580.93499,High,11/13/2024 12:32:14,532,0,1,One,276.4868894
0,L6,341,1015,-109,94,29173,3680939.401,None,63.43494882,60.94320019,336.7248282,515.6235527,119880.3816,High,11/13/2024 12:32:14,532,0,1,One,215.8240024
1,L6,555,1043,105,122,29173,3680939.401,None,-1,17.8935397,22.91365641,1448.404395,104167.5938,High,11/13/2024 12:32:14,532,0,1,One,215.8240024
0,R1,875,43,-105,-138,29173,3680939.401,None,-1,0,0,0,19849.34189,NotFound,11/13/2024 12:32:14,532,0,0,None,-1
1,R1,872,46,-108,-135,29173,3680939.401,None,-1,0,0,2888.806555,20701.76241,High,11/13/2024 12:32:14,532,0,1,One,-1
0,R2,1359,32,70,-147,29173,3680939.401,None,-1,0,-24.52335709,1448.404395,25751.82931,High,11/13/2024 12:32:14,532,0,1,One,143.5026132
1,R2,1216,44,-73,-135,29173,3680939.401,None,45,11.31686817,86.52861469,368.1027743,22631.07758,High,11/13/2024 12:32:14,532,0,1,One,143.5026132
0,R3,1104,428,129,-124,29173,3680939.401,None,-1,0,-9.014965357,2381.185236,19293.53232,High,11/13/2024 12:32:14,532,0,1,One,-1
1,R3,1109,446,134,-106,29173,3680939.401,None,-1,0,0,0,41629.46106,NotFound,11/13/2024 12:32:14,532,0,0,None,-1
0,R4,1419,432,131,-119,29173,3680939.401,None,-1,0,0,2888.806555,30705.91463,High,11/13/2024 12:32:14,532,0,1,One,54.45181356
1,R4,1412,486,124,-65,29173,3680939.401,None,-1,0,0,2888.806555,20933.35739,High,11/13/2024 12:32:14,532,0,1,One,54.45181356
0,R5,1072,1043,95,129,29173,3680939.401,None,360,0,-5.701564711,2888.806555,23642.95761,High,11/13/2024 12:32:14,532,0,1,One,-1
1,R5,1088,1046,111,132,29173,3680939.401,None,-1,0,0,0,24044.04607,NotFound,11/13/2024 12:32:14,532,0,0,None,-1
0,R6,1398,1048,115,132,29173,3680939.401,None,225,11.31686817,86.52861469,1808.504935,60601.10875,High,11/13/2024 12:32:14,532,0,1,One,18.02775638
1,R6,1415,1042,132,126,29173,3680939.401,None,135,11.31686817,86.52861469,1088.303854,55250.88798,High,11/13/2024 12:32:14,532,0,1,One,18.02775638
0,L1,97,58,-41,-123,29174,3681064.337,None,360,0,-64.0505652,2889.474788,91666.97331,High,11/13/2024 12:32:14,657,0,1,One,231.3114783
1,L1,256,226,118,45,29174,3681064.337,None,45,28.85913991,-221.9148728,368.1879231,104933.4476,High,11/13/2024 12:32:14,657,0,1,One,231.3114783
0,L2,488,238,43,55,29174,3681064.337,None,180,8.004085285,0.014816052,1448.739437,67904.41796,High,11/13/2024 12:32:14,657,0,1,One,167.8689965
1,L2,426,82,-19,-101,29174,3681064.337,None,-1,115.4365596,-76.53774384,1448.739437,72525.89731,High,11/13/2024 12:32:14,657,0,1,One,167.8689965
0,L3,121,414,-23,-141,29174,3681064.337,None,296.5650512,17.8976788,0.0331297,2381.736047,137058.3455,High,11/13/2024 12:32:14,657,0,1,One,195.2741662
1,L3,15,578,-129,23,29174,3681064.337,None,-1,33.00168907,-56.10449215,2169.107112,125860.2759,High,11/13/2024 12:32:14,657,0,1,One,195.2741662
0,L4,391,575,-59,16,29174,3681064.337,None,180,17.8976788,52.6733695,1448.739437,65924.39931,High,11/13/2024 12:32:14,657,0,1,One,140.1178076
1,L4,448,447,-2,-112,29174,3681064.337,None,360,0,-128.1011304,2889.474788,68521.11316,High,11/13/2024 12:32:14,657,0,1,One,140.1178076
0,L5,212,787,68,-135,29174,3681064.337,None,-1,0,0,2889.474788,91158.62994,High,11/13/2024 12:32:14,657,0,1,One,272.2590678
